FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(kg),MainEngineDesigner,MainEngineModel,NumberOfEngines
"SS 2006","Arctic Voyager","Kawasaki Shipbuilding Corp, , Japan","Mitsui Engineering & & Shipbuilding Ltd, , Japan","Lloyd' 's TSB Equipment Leasing No 1 Ltd/ /K- -Line, , UK","","July2006","289.50m","19.00knots","","118,571gt","","","Kawasakisteamturbine","……………………UA-400","1"
"SS 2006","Berge Nantong","Hyundai Heavy Industries Co Ltd, , Korea","Hyundai Heavy Industries Co Ltd, , Korea","Unique Shipping ( (HK) ) Ltd, , Hong Kong","","27July2006","225.00m","16.75knots","","47,012gt","","69,404tonnes","MANB&W","………………6S60MC-C","1"
"SS 2006","Bergensfjord","Aker Yards AS ( (Søøviknes yard) ), , Norway","LMG Marin, , Norway","Fjord 1 Nordvestlandske AS, , Norway","","2006","129.80m","","","4856gt","","","Rolls-RoyceMarineAS (BergenDiesel)","","1xKVGS-12G4; 1xKVGS-16G4"
"SS 2006","Bit Okland","Shanghai Edward Shipbuilding, , People' 's Republic of China","Skipskonsulent A/ /S, , Norway Modeltestestablishmentused: ..SSPA, , Sweden","Tarbit Shipping AB, , Sweden","","8December2006","177.10m","16knots","","17,660gt","","","Wärtsilä","6L46B","2"
"SS 2006","Bossclip Trader","Cochin Shipyard Ltd, , Cochin, , India","Algoship Designers Ltd, , Bahamas/ /Mastek Heavy Industries Co Ltd, , Korea","Clipper Group Ltd, , Denmark/ /Dockendale Shipping Co Ltd, , Bahamas","","10April2006","178.70m","14.00knots","","19,918gt","","38,557tonnes","MANB&W","6S42MCMk7","1"
"SS 2006","Bro Deliverer","Jinling Shipyard, , People' 's Republic of China","Skipskonsulent A/ /S, , Norway","Broströ öm Tankers AB, , Sweden","","March2006","146.80m","13knots","","","","","MANB&W","7L27/38","2"
"SS 2006","BW Sombeke","Daewoo Shipbuilding & & Marine Engineering Co Ltd ( (DSME) ), , Korea","Daewoo Shipbuilding & & Marine Engineering Co Ltd ( (DSME) ), , Korea Modeltestestablishmentused: ..SSPA, , Sweden","Bergesen Worldwide Gas ASA, , Norway","","October2006","180.00m","16.40knots","","25,994gt","","-","MANB&W","6S50MC-C","1"
"SS 2006","Charlotte Wulff","Stocznia Gdynia SA, , Poland","Gdansk Model Basin ( (CTO- -OHO) ), , Poland","Reederei Hermann Wulff, , Germany","","26January2006","291.66m","24.50knots","","52,701gt","","","MANB&W","7K98MCMk6","1"
"SS 2006","Clipper Karina","STX Shipbuilding Co Ltd, , Busan, , Korea","STX Shipbuilding Co Ltd, , Korea","Clipper Group ( (Management) ) Ltd, , Denmark","","18January2006","116.50m","13.98knots","","7687gt","","15,021tonnes","MANB&W","6S35MC-Mk7","1"
"SS 2006","Clipper Sira","Volharding Shipyards, , The Netherlands","Volharding Shipyards, , The Netherlands","Brodrene Klovnings Shipping/ /BKR Tankers A/ /S, , Norway","","July2006","89.00m","12knots","","2700gt","","5607tonnes","MaK","6M25","1"
